Genotype,Tank,Individual,Treatment,ranked_fc,average_fc
Lansing,1,4,control,1,1.347192915
Lansing,1,5,control,1,0.655141347
Lansing,1,6,control,1,1.133013803
Lansing,3,1,control,1,0.603836368
Lansing,3,2,control,1,2.302199738
Lansing,3,4,control,1,0.719345835
Lansing,4,2,control,1,1.205111324
Lansing,4,3,control,1,1.287631837
Lansing,4,4,control,1,0.644437978
M457,1,2,control,1,0.78408902
M457,1,6,control,1,1.275365391
M457,3,3,control,1,0.365612166
M457,3,4,control,1,1.301237652
M457,3,5,control,1,2.101951736
M457,4,1,control,1,1.576478965
M457,4,4,control,1,0.901571865
M457,4,6,control,1,0.703576733
Townline,1,1,control,1,0.282276106
Townline,1,3,control,1,8.949275416
Townline,1,5,control,1,0.395856708
Townline,3,1,control,1,0.118191192
Townline,3,2,control,1,3.685439316
Townline,3,6,control,1,2.295755439
Townline,4,1,control,1,0.754571754
Townline,4,3,control,1,1.379206206
Townline,4,6,control,1,0.960882432
Lansing,1,1,fluridone,1.165558822,0.763605777
Lansing,1,2,fluridone,1.022665418,1.377727605
Lansing,1,3,fluridone,1.034673188,1.172299003
Lansing,3,3,fluridone,1.123158648,2.585735545
Lansing,3,5,fluridone,3.157116395,2.271058528
Lansing,3,6,fluridone,3.228094202,1.94924068
Lansing,4,1,fluridone,1.056318914,1.360149863
Lansing,4,5,fluridone,1.357826446,0.87503493
Lansing,4,6,fluridone,0.947254156,1.14154671
M457,1,1,fluridone,0.185198767,0.236196097
M457,1,3,fluridone,0.152886463,0.194986104
M457,1,4,fluridone,0.17764637,0.139290568
M457,3,1,fluridone,0.796690899,1.036684195
M457,3,2,fluridone,2.694225891,0.985041764
M457,3,6,fluridone,0.717371813,1.507880928
M457,4,2,fluridone,0.982749909,0.691439971
M457,4,3,fluridone,1.082631605,0.976070195
M457,4,5,fluridone,0.638125864,1.005992002
Townline,1,2,fluridone,0.161194469,1.442573696
Townline,1,4,fluridone,1.954916178,0.551826126
Townline,1,6,fluridone,1.740841151,0.689123647
Townline,3,3,fluridone,0.480619352,1.402274523
Townline,3,4,fluridone,2.00651376,2.066047729
Townline,3,5,fluridone,0.522096568,1.337909845
Townline,4,2,fluridone,1.332326308,1.005335799
Townline,4,4,fluridone,0.896856579,1.23695016
Townline,4,5,fluridone,1.041412959,1.000675417
